name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Эскалоп свиной Перекрёсток без кости	459,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/eskalop-svinoj-perekrestok-bez-kosti-4834	Wed Jul  3 15:04:03 2024	Эскалоп свиной Перекрёсток без кости	Цена469,99 ₽	Собственное производство Перекрёсток	301.0	17.0 г	25.0 г	0.0 г	none	True	True	Fri Jul  5 22:57:17 2024
Стейк свиной Черкизово Чалагач на косточке категории Б охлаждённый, 350г	279,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/951/p/stejk-svinoj-cerkizovo-calagac-na-kostocke-kategorii-b-ohlazdennyj-350g-3693115	Wed Jul  3 15:04:03 2024	Стейк свиной Черкизово Чалагач на косточке категории Б охлаждённый, 350г	Цена229,99 ₽	Черкизово	0.0	0.0 г	0.0 г	0.0 г	Свинина. Продукт может содержать следы: горчицы, кунжута, молока, орехов, сельдерея, сои, яиц, глютена. 	True	True	Fri Jul  5 22:57:18 2024
Окорок свиной без кости Перекрёсток	279,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/okorok-svinoj-bez-kosti-perekrestok-4833	Wed Jul  3 15:04:03 2024	Окорок свиной без кости Перекрёсток	Цена279,99 ₽	Собственное производство Перекрёсток	305.0	15.0 г	27.2 г	0.0 г	свинина 	True	True	Fri Jul  5 22:57:19 2024
Лопатка свиная без кости	279,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/lopatka-svinaa-bez-kosti-3293544	Wed Jul  3 15:04:03 2024	Лопатка свиная без кости	Цена279,99 ₽	Собственное производство Перекрёсток	332.0	15.3 г	30.1 г	0.0 г	свиная лопатка. 	True	True	Fri Jul  5 22:57:20 2024
Лопатка свиная Черкизово категории А охлаждённая	399,99 ₽/кг	none	https://www.perekrestok.ru/cat/139/p/lopatka-svinaa-cerkizovo-kategorii-a-ohlazdennaa-53905	Wed Jul  3 15:04:03 2024	Лопатка свиная Черкизово категории А охлаждённая	Цена479,99 ₽	Черкизово	203.0	17.0 г	15.0 г	1.0 г	Свинина. Продукт может содержать следы: горчицы, кунжута, молока, орехов, сельдерея, сои, яиц, глютена. 	True	True	Fri Jul  5 22:57:21 2024
Шейка свиная без кости Перекрёсток	499,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/sejka-svinaa-bez-kosti-perekrestok-912	Wed Jul  3 15:04:03 2024	Шейка свиная без кости Перекрёсток	Цена499,99 ₽	Собственное производство Перекрёсток	371.0	13.6 г	31.9 г	0.0 г	свинина. 	True	True	Fri Jul  5 22:57:22 2024
Шейка свиная категория А охлажденная Маркет	599,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/sejka-svinaa-kategoria-a-ohlazdennaa-market-4277445	Wed Jul  3 15:04:03 2024	Шейка свиная категория А охлажденная Маркет	Цена599,99 ₽	Маркет	226.0	16.0 г	18.0 г	0.0 г	Свинина. 	True	True	Fri Jul  5 22:57:23 2024
Медальоны свиные Мираторг Tender Pork категории А охлаждённые, 250г	249,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/951/p/medalony-svinye-miratorg-tender-pork-kategorii-a-ohlazdennye-250g-3943128	Wed Jul  3 15:04:03 2024	Медальоны свиные Мираторг Tender Pork категории А охлаждённые, 250г	Цена239,99 ₽	Мираторг	180.0	17.0 г	12.0 г	0.0 г	Свинина. 	True	True	Fri Jul  5 22:57:24 2024
Рагу из свинины Великолукский Мясокомбинат категорииг охлаждённое, 400г	69,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/139/p/ragu-iz-svininy-velikolukskij-masokombinat-kategoriig-ohlazdennoe-400g-3657801	Wed Jul  3 15:04:03 2024	Рагу из свинины Великолукский Мясокомбинат категорииг охлаждённое, 400г	Цена69,99 ₽	Великолукский МК	280.0	8.0 г	28.0 г	0.0 г	Свинина 	True	True	Fri Jul  5 22:57:25 2024
Вырезка свиная Черкизово категории А охлаждённая	659,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/vyrezka-svinaa-cerkizovo-kategorii-a-ohlazdennaa-53830	Wed Jul  3 15:04:03 2024	Вырезка свиная Черкизово категории А охлаждённая	Цена659,99 ₽	Черкизово	135.0	18.0 г	7.0 г	1.0 г	Свинина. 	True	True	Fri Jul  5 22:57:25 2024
Шашлык Черкизово лёгкий из карбонада из свинины бескостный категории В	479,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/saslyk-cerkizovo-legkij-iz-karbonada-iz-svininy-beskostnyj-kategorii-v-4299080	Wed Jul  3 15:04:03 2024	Шашлык Черкизово лёгкий из карбонада из свинины бескостный категории В	Цена479,99 ₽	Черкизово	166.0	17.0 г	10.0 г	2.0 г	Cвинина, вода, соль, подсолнечное масло, пищевые волокна, соус-маринад (соль, йогуртовая пудра, специи и их экстракты (в т. ч. горчица), натуральные ароматизаторы (соевый соус, йогурт, говядина), сахар, усилитель вкуса и аромата (глутамат натрия 1-замещенный), мальтодекстрин, регулятор кислотности (лимонная кислота), загустители (гуаровая камедь, ксантановая камедь), краситель (экстракт паприки, капсантин, капсорубин), консерванты (бензоат натрия, сорбат калия)), регуляторы кислотности (трифосфаты, ацетаты натрия, цитраты натрия), стабилизаторы (пирофосфаты, камедь рожкового дерева), загустители (ксантановая камедь, гуаровая камедь), лук, ароматизатор, декстроза, животный белок, антиокислители (лимонная кислота, аскорбат натрия), лимонный сок (сок лимона, консервант (пиросульфит натрия)). 	True	True	Fri Jul  5 22:57:26 2024
Корейка свиная без кости Перекрёсток	459,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/korejka-svinaa-bez-kosti-perekrestok-911	Wed Jul  3 15:04:03 2024	Корейка свиная без кости Перекрёсток	Цена459,99 ₽	Собственное производство Перекрёсток	383.0	13.7 г	36.5 г	0.0 г	Полуфабрикат мясной натуральный крупнокусковой охлажденный категории Б.Состав:свиная корейка без кости.Средние значения п/ц и э/ц в 100г продукта:Белки-13.7г;Жиры-36.5г;Углеводы-0г; Энергетическая ценность 383ккал/1583.4кДж.Срок годности 48 часов при t+2+6С.Рекомендации по приготовлению:продукт употребить после термической обработки.Информация об изготовителе указана ниже 	True	True	Fri Jul  5 22:57:27 2024
Ребра свиные Мираторг Деликатесные	549,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/rebra-svinye-miratorg-delikatesnye-46011	Wed Jul  3 15:04:03 2024	Ребра свиные Мираторг Деликатесные	Цена549,99 ₽	Мираторг	240.0	10.0 г	22.0 г	none	Свинина. 	True	True	Fri Jul  5 22:57:28 2024
